homeid,install_type,location,residents,income_band,hometype,floorarea
47,standard,Edinburgh,2,,flat,427
59,standard,Edinburgh,2,"£90,000 or more",flat,760
61,enhanced,Edinburgh,2,"£48,600 to £53,999",house_or_bungalow,685
62,enhanced,Edinburgh,2,"£43,200 to £48,599",flat,815
64,standard,Edinburgh,4,"£66,000 to £77,999",flat,650
63,enhanced,Edinburgh,2,"£54,000 to £65,999",house_or_bungalow,725
65,enhanced,Edinburgh,2,"£54,000 to £65,999",house_or_bungalow,1000
67,standard,Edinburgh,2,"£27,000 to £32,399",flat,580
66,standard,Edinburgh,3,"£66,000 to £77,999",house_or_bungalow,825
68,standard,Edinburgh,1,"£48,600 to £53,999",house_or_bungalow,1125
70,standard,Edinburgh,1,"less than £10,800",flat,760
73,enhanced,Edinburgh,3,,flat,695
69,standard,Edinburgh,4,"less than £10,800",house_or_bungalow,575
75,standard,Edinburgh,2,"less than £10,800",flat,730
72,standard,Edinburgh,2,"£37,800 to £43,199",flat,800
74,standard,Edinburgh,2,"£23,400 to £26,999",flat,1150
78,standard,Edinburgh,3,"£23,400 to £26,999",flat,880
71,standard,Midlothian,1,"£16,200 to £19,799",flat,985
77,standard,Edinburgh,1,"£48,600 to £53,999",flat,550
76,standard,Edinburgh,4,"£66,000 to £77,999",flat,1290
79,standard,Edinburgh,3,"£32,400 to £37,799",house_or_bungalow,1265
80,standard,Edinburgh,1,"£23,400 to £26,999",flat,410
81,standard,Edinburgh,2,"£37,800 to £43,199",house_or_bungalow,1060
88,standard,Edinburgh,1,"£27,000 to £32,399",house_or_bungalow,975
86,standard,Edinburgh,2,"£27,000 to £32,399",house_or_bungalow,1410
83,standard,Edinburgh,2,"£23,400 to £26,999",flat,695
82,standard,Edinburgh,2,"£90,000 or more",house_or_bungalow,1215
85,standard,Edinburgh,3,"£32,400 to £37,799",flat,915
84,standard,Edinburgh,4,"£54,000 to £65,999",flat,640
89,standard,Edinburgh,1,"£48,600 to £53,999",house_or_bungalow,835
90,enhanced,Edinburgh,1,"less than £10,800",house_or_bungalow,430
91,standard,Edinburgh,2,"£32,400 to £37,799",flat,570
92,standard,Edinburgh,4,"£78,000 to £89,999",house_or_bungalow,1275
93,standard,Edinburgh,4,"£48,600 to £53,999",flat,735
98,standard,Edinburgh,3,"£32,400 to £37,799",flat,465
94,standard,Edinburgh,2,"£43,200 to £48,599",flat,475
96,enhanced,Midlothian,5,"£48,600 to £53,999",house_or_bungalow,1475
97,standard,Edinburgh,3,"£90,000 or more",flat,1220
100,standard,Midlothian,1,"£27,000 to £32,399",flat,725
101,standard,Midlothian,1,"£32,400 to £37,799",house_or_bungalow,810
99,standard,Midlothian,4,"£90,000 or more",house_or_bungalow,1195
102,standard,Edinburgh,3,"£54,000 to £65,999",flat,675
107,standard,Midlothian,2,"£23,400 to £26,999",house_or_bungalow,795
106,enhanced,Edinburgh,1,"£32,400 to £37,799",flat,615
109,standard,Midlothian,4,"£27,000 to £32,399",house_or_bungalow,775
110,standard,Midlothian,3,"£48,600 to £53,999",house_or_bungalow,790
105,enhanced,Midlothian,1,"£43,200 to £48,599",flat,760
114,standard,Edinburgh,2,"less than £10,800",flat,450
115,standard,Midlothian,3,,house_or_bungalow,655
116,standard,Edinburgh,2,"less than £10,800",flat,675
118,standard,Edinburgh,2,"less than £10,800",flat,830
120,standard,Edinburgh,1,"£13,500 to £16,199",house_or_bungalow,455
121,standard,Edinburgh,2,"£13,500 to £16,199",flat,935
126,standard,Midlothian,1,,house_or_bungalow,470
129,standard,Edinburgh,3,"£43,200 to £48,599",house_or_bungalow,1000
117,standard,Edinburgh,1,"£32,400 to £37,799",flat,420
113,standard,WestLothian,3,"£37,800 to £43,199",house_or_bungalow,955
119,standard,Edinburgh,2,"£32,400 to £37,799",flat,1105
122,standard,Edinburgh,3,"£48,600 to £53,999",flat,635
123,standard,Edinburgh,4,"£66,000 to £77,999",flat,1780
124,standard,Edinburgh,3,"£43,200 to £48,599",flat,950
125,standard,Midlothian,2,"£23,400 to £26,999",flat,535
133,standard,Edinburgh,4,"£32,400 to £37,799",house_or_bungalow,805
134,standard,Edinburgh,4,"£90,000 or more",house_or_bungalow,1500
136,enhanced,Edinburgh,1,"£43,200 to £48,599",flat,1250
135,standard,Edinburgh,2,"£10,800 to £13,499",flat,930
128,enhanced,Edinburgh,1,"£23,400 to £26,999",flat,480
137,standard,Edinburgh,2,"£43,200 to £48,599",flat,490
138,standard,EastLothian,5,"£43,200 to £48,599",house_or_bungalow,1025
139,enhanced,Edinburgh,3,"£37,800 to £43,199",flat,820
140,enhanced,Edinburgh,3,"£54,000 to £65,999",flat,615
141,standard,Edinburgh,1,"£78,000 to £89,999",flat,735
143,standard,Edinburgh,2,"£78,000 to £89,999",flat,590
144,standard,Edinburgh,2,"£90,000 or more",flat,1385
145,enhanced,Edinburgh,2,"£43,200 to £48,599",flat,695
146,enhanced,Midlothian,4,"£43,200 to £48,599",house_or_bungalow,1625
147,standard,Edinburgh,3,"£48,600 to £53,999",flat,780
148,standard,Edinburgh,3,"£66,000 to £77,999",flat,575
149,standard,Edinburgh,2,"less than £10,800",flat,1265
150,standard,Edinburgh,2,,flat,865
151,standard,Midlothian,2,"£37,800 to £43,199",house_or_bungalow,980
152,standard,Edinburgh,5,"£54,000 to £65,999",house_or_bungalow,850
154,standard,Edinburgh,3,"£48,600 to £53,999",house_or_bungalow,775
153,standard,Edinburgh,2,"£54,000 to £65,999",flat,375
155,standard,Edinburgh,2,"£27,000 to £32,399",house_or_bungalow,1275
156,standard,Edinburgh,1,"£90,000 or more",flat,985
158,standard,Edinburgh,2,"£54,000 to £65,999",flat,430
160,standard,Edinburgh,2,"£78,000 to £89,999",flat,1220
164,standard,Midlothian,3,"£43,200 to £48,599",house_or_bungalow,1590
165,standard,Edinburgh,2,"less than £10,800",flat,1255
166,standard,Edinburgh,3,"£48,600 to £53,999",house_or_bungalow,810
159,standard,Edinburgh,2,"£43,200 to £48,599",flat,755
161,standard,Edinburgh,2,"£10,800 to £13,499",house_or_bungalow,900
168,enhanced,WestLothian,4,"£66,000 to £77,999",house_or_bungalow,1100
169,enhanced,WestLothian,1,"£48,600 to £53,999",house_or_bungalow,1005
170,standard,Edinburgh,4,"£54,000 to £65,999",house_or_bungalow,1180
171,enhanced,Edinburgh,0,"£13,500 to £16,199",flat,730
167,standard,Edinburgh,2,"£48,600 to £53,999",flat,730
173,standard,WestLothian,4,"£43,200 to £48,599",house_or_bungalow,820
174,standard,Edinburgh,4,"£90,000 or more",house_or_bungalow,1400
157,standard,WestLothian,2,"£27,000 to £32,399",flat,710
180,standard,EastLothian,3,"£32,400 to £37,799",flat,1490
162,enhanced,Edinburgh,2,"£54,000 to £65,999",flat,735
163,standard,WestLothian,2,"£37,800 to £43,199",house_or_bungalow,810
175,enhanced,Midlothian,2,"£43,200 to £48,599",house_or_bungalow,930
176,standard,Midlothian,3,"less than £10,800",house_or_bungalow,795
179,standard,Edinburgh,1,"£43,200 to £48,599",flat,600
177,standard,Edinburgh,4,"£66,000 to £77,999",flat,1175
178,standard,WestLothian,2,"£54,000 to £65,999",house_or_bungalow,850
181,standard,WestLothian,4,"£66,000 to £77,999",house_or_bungalow,865
182,standard,Edinburgh,4,"£13,500 to £16,199",flat,1070
183,standard,Edinburgh,2,"£27,000 to £32,399",house_or_bungalow,920
184,standard,EastLothian,2,"£43,200 to £48,599",house_or_bungalow,815
185,standard,Edinburgh,3,,house_or_bungalow,1065
188,standard,Edinburgh,3,"£19,800 to £23,399",flat,880
187,standard,WestLothian,3,"£27,000 to £32,399",house_or_bungalow,880
186,standard,Edinburgh,2,"£54,000 to £65,999",house_or_bungalow,585
189,standard,EastLothian,2,"£32,400 to £37,799",flat,425
190,standard,Edinburgh,3,"£54,000 to £65,999",flat,475
192,standard,Edinburgh,4,,house_or_bungalow,1190
191,standard,Edinburgh,4,"£43,200 to £48,599",house_or_bungalow,740
193,standard,Edinburgh,1,"£54,000 to £65,999",flat,575
194,standard,Edinburgh,1,"£16,200 to £19,799",flat,410
195,standard,Edinburgh,4,"£19,800 to £23,399",house_or_bungalow,1020
197,standard,Edinburgh,1,"£19,800 to £23,399",flat,780
199,standard,Edinburgh,4,"£54,000 to £65,999",house_or_bungalow,1135
200,standard,WestLothian,5,"£54,000 to £65,999",house_or_bungalow,1620
201,standard,Midlothian,5,"£54,000 to £65,999",flat,1025
202,standard,EastLothian,1,"£27,000 to £32,399",house_or_bungalow,1010
203,standard,Edinburgh,1,"£32,400 to £37,799",house_or_bungalow,685
206,standard,EastLothian,4,"£54,000 to £65,999",house_or_bungalow,1000
205,standard,Edinburgh,2,"£43,200 to £48,599",flat,420
208,enhanced,Edinburgh,2,"£43,200 to £48,599",flat,780
207,standard,WestLothian,3,"£90,000 or more",house_or_bungalow,700
210,standard,Edinburgh,4,"£48,600 to £53,999",house_or_bungalow,1320
213,standard,Edinburgh,1,"£32,400 to £37,799",flat,540
214,standard,Edinburgh,3,"£48,600 to £53,999",flat,1680
216,standard,Edinburgh,1,"£13,500 to £16,199",flat,370
211,standard,Edinburgh,3,"£90,000 or more",house_or_bungalow,1210
212,enhanced,EastLothian,3,"£23,400 to £26,999",flat,875
218,standard,Edinburgh,4,"£48,600 to £53,999",flat,750
215,standard,Edinburgh,2,"£66,000 to £77,999",flat,580
219,standard,Edinburgh,0,"£78,000 to £89,999",flat,745
221,standard,Edinburgh,2,"£19,800 to £23,399",flat,660
222,standard,WestLothian,3,"£19,800 to £23,399",house_or_bungalow,1095
223,standard,Edinburgh,4,"less than £10,800",house_or_bungalow,990
209,standard,Edinburgh,1,"£43,200 to £48,599",flat,660
224,standard,Edinburgh,2,"£54,000 to £65,999",house_or_bungalow,775
225,enhanced,Edinburgh,2,,flat,1275
226,standard,Edinburgh,2,"£54,000 to £65,999",flat,695
228,enhanced,Edinburgh,0,"£66,000 to £77,999",flat,630
227,enhanced,Edinburgh,2,"£19,800 to £23,399",flat,680
229,standard,Midlothian,4,"£90,000 or more",house_or_bungalow,1865
232,standard,Edinburgh,3,"less than £10,800",house_or_bungalow,770
230,standard,Edinburgh,5,"£43,200 to £48,599",house_or_bungalow,720
231,enhanced,Midlothian,2,"£32,400 to £37,799",house_or_bungalow,885
233,standard,Edinburgh,4,"£54,000 to £65,999",house_or_bungalow,1015
236,standard,Midlothian,5,"£27,000 to £32,399",house_or_bungalow,815
237,standard,Edinburgh,2,"£54,000 to £65,999",flat,620
235,standard,Midlothian,1,"£90,000 or more",house_or_bungalow,865
239,standard,Edinburgh,2,"£32,400 to £37,799",flat,530
238,enhanced,Edinburgh,2,"£37,800 to £43,199",flat,775
234,standard,Edinburgh,1,"£16,200 to £19,799",flat,360
240,standard,Edinburgh,4,"£37,800 to £43,199",flat,1080
243,standard,EastLothian,3,"£19,800 to £23,399",house_or_bungalow,775
241,standard,Edinburgh,2,"£37,800 to £43,199",flat,360
242,enhanced,Edinburgh,3,"£78,000 to £89,999",house_or_bungalow,1220
245,standard,Edinburgh,3,"£54,000 to £65,999",house_or_bungalow,965
244,standard,Edinburgh,4,"£19,800 to £23,399",flat,475
246,standard,Edinburgh,3,"£90,000 or more",house_or_bungalow,1060
247,standard,Edinburgh,3,"£66,000 to £77,999",house_or_bungalow,1285
249,enhanced,Edinburgh,2,,flat,440
248,standard,Edinburgh,2,"£27,000 to £32,399",flat,745
250,standard,Edinburgh,2,"£43,200 to £48,599",flat,465
251,standard,Midlothian,1,"£54,000 to £65,999",flat,860
253,standard,Midlothian,2,"£90,000 or more",flat,780
254,standard,EastLothian,5,"£48,600 to £53,999",house_or_bungalow,1130
252,standard,EastLothian,3,"£54,000 to £65,999",flat,655
255,enhanced,Edinburgh,3,"£19,800 to £23,399",flat,1120
256,standard,Edinburgh,2,"£54,000 to £65,999",flat,960
260,standard,Fife,2,"£32,400 to £37,799",house_or_bungalow,835
257,standard,Edinburgh,1,"£43,200 to £48,599",flat,635
258,standard,Edinburgh,2,"£27,000 to £32,399",flat,500
262,enhanced,Edinburgh,2,"£37,800 to £43,199",flat,665
261,standard,Fife,3,"£90,000 or more",house_or_bungalow,1235
264,enhanced,Edinburgh,4,"£48,600 to £53,999",house_or_bungalow,1075
263,enhanced,Fife,4,"£32,400 to £37,799",house_or_bungalow,865
266,enhanced,Edinburgh,2,"£66,000 to £77,999",house_or_bungalow,990
267,standard,Midlothian,2,"£54,000 to £65,999",flat,825
268,enhanced,Fife,1,"£27,000 to £32,399",house_or_bungalow,895
269,standard,Fife,2,"£48,600 to £53,999",flat,1100
265,standard,Edinburgh,3,"£27,000 to £32,399",flat,725
270,standard,Edinburgh,4,"£78,000 to £89,999",house_or_bungalow,1385
272,standard,Midlothian,2,"£27,000 to £32,399",flat,415
273,standard,Edinburgh,3,"£54,000 to £65,999",house_or_bungalow,895
271,standard,Fife,0,"£48,600 to £53,999",house_or_bungalow,995
259,enhanced,Midlothian,2,"£23,400 to £26,999",house_or_bungalow,1210
275,standard,Edinburgh,1,"£10,800 to £13,499",flat,670
274,standard,Edinburgh,1,"£23,400 to £26,999",flat,430
277,standard,Midlothian,2,"£23,400 to £26,999",house_or_bungalow,1080
276,enhanced,Edinburgh,3,"£48,600 to £53,999",flat,755
278,standard,Edinburgh,2,"£43,200 to £48,599",flat,585
280,standard,Edinburgh,3,"£78,000 to £89,999",flat,1135
279,standard,Edinburgh,1,"£37,800 to £43,199",flat,695
281,standard,Fife,2,"£43,200 to £48,599",house_or_bungalow,775
283,standard,Edinburgh,2,"£54,000 to £65,999",house_or_bungalow,960
282,standard,Edinburgh,4,"£54,000 to £65,999",flat,910
284,standard,Edinburgh,3,"£37,800 to £43,199",flat,605
286,standard,Edinburgh,1,"£10,800 to £13,499",flat,430
291,standard,Fife,2,"£66,000 to £77,999",house_or_bungalow,730
285,standard,Edinburgh,2,"£54,000 to £65,999",flat,585
292,standard,Edinburgh,2,"£37,800 to £43,199",flat,845
289,standard,EastLothian,1,"£10,800 to £13,499",flat,580
287,standard,Edinburgh,4,"£90,000 or more",flat,1170
288,standard,Midlothian,2,"£19,800 to £23,399",flat,600
290,standard,Edinburgh,3,"£78,000 to £89,999",house_or_bungalow,990
294,standard,Edinburgh,2,"£43,200 to £48,599",flat,580
295,standard,Edinburgh,1,"£90,000 or more",flat,970
296,standard,Midlothian,3,"£19,800 to £23,399",flat,435
293,standard,WestLothian,2,"£48,600 to £53,999",house_or_bungalow,685
300,standard,Edinburgh,1,"£32,400 to £37,799",flat,700
302,standard,Edinburgh,2,"£78,000 to £89,999",flat,655
303,standard,Edinburgh,1,"£13,500 to £16,199",house_or_bungalow,885
299,standard,Edinburgh,1,"£10,800 to £13,499",house_or_bungalow,695
301,standard,Fife,3,"£19,800 to £23,399",flat,630
298,standard,Fife,2,"£37,800 to £43,199",house_or_bungalow,570
304,standard,Edinburgh,3,"£27,000 to £32,399",flat,760
316,standard,Edinburgh,4,"£90,000 or more",house_or_bungalow,1435
310,standard,Edinburgh,2,"£43,200 to £48,599",flat,815
306,standard,Edinburgh,4,"£66,000 to £77,999",house_or_bungalow,790
305,standard,Edinburgh,2,"£54,000 to £65,999",house_or_bungalow,1195
307,standard,Edinburgh,4,"£54,000 to £65,999",house_or_bungalow,1295
311,enhanced,Edinburgh,2,"£16,200 to £19,799",flat,930
308,standard,Edinburgh,2,"£78,000 to £89,999",house_or_bungalow,1090
309,standard,Edinburgh,3,"£54,000 to £65,999",flat,555
315,standard,Edinburgh,2,"£90,000 or more",house_or_bungalow,980
328,enhanced,Edinburgh,1,"£10,800 to £13,499",flat,575
317,standard,Edinburgh,1,"£37,800 to £43,199",flat,620
319,standard,Edinburgh,2,"£16,200 to £19,799",flat,830
313,standard,Edinburgh,1,"£37,800 to £43,199",flat,480
318,standard,Edinburgh,4,"£32,400 to £37,799",house_or_bungalow,795
321,standard,Edinburgh,1,"£32,400 to £37,799",flat,920
323,standard,Edinburgh,1,"£19,800 to £23,399",flat,685
326,standard,Edinburgh,4,"£16,200 to £19,799",house_or_bungalow,1090
320,standard,Edinburgh,2,"£37,800 to £43,199",flat,325
325,standard,Edinburgh,4,"£78,000 to £89,999",house_or_bungalow,1415
322,standard,Edinburgh,3,"£43,200 to £48,599",flat,615
327,standard,Edinburgh,4,"£32,400 to £37,799",house_or_bungalow,640
330,standard,EastLothian,4,,house_or_bungalow,950
329,standard,Edinburgh,2,"£16,200 to £19,799",house_or_bungalow,735
331,standard,Fife,2,"£54,000 to £65,999",house_or_bungalow,900
332,standard,Edinburgh,1,"£32,400 to £37,799",flat,515
334,standard,Edinburgh,5,"less than £10,800",flat,805
335,standard,EastLothian,4,"£78,000 to £89,999",house_or_bungalow,1120
333,standard,Edinburgh,3,"£54,000 to £65,999",flat,945
